OriginalTitle,Popularity,weighted_average,score,bag_of_words
#살아있다,0.4194188971187196,0.6755874958708064,0.5218863366195543,horror action adventure thriller grisly virus rampage city lone man stay locked inside apartment digitally cut seeking help desperate find way you must survive
'71,0.04110950626334686,0.5639220364371758,0.25023451833287846,thriller action drama war young soldier must find way back safety unit accidentally abandon riot street nan
'Twas the Text Before Christmas,0.5856218994854447,0.5075405068229557,0.5543893424204491,tvmovie comedy romance new york city chiropractor mistakenly “ nana ” accidental turn loving friendship matronly nana communicate regularly nana invite spend holiday perfect exactly nana except one surprise nana ’ s single son traveling doctor also home holiday three consecutive year together holiday though is not single begin see different light nan
(500) Days of Summer,0.6535146284580791,0.6941071584281069,0.6697516404460901,comedy drama romance writer hopeless romantic caught completely summer suddenly dump day together try figure love affair went sour true passion life this is not a love story this is a story about love
*batteries not included,0.16171441577248702,0.5207510811488132,0.3053290819230175,sciencefiction comedy family fantasy soon block apartment resident resist criminal method used force leave greedy tycoon build new skyscraper tiny mechanical alien land recharge decide stay help five ordinary people needed a miracle then one night faye riley left the window open
...And Justice for All,0.09202626111553336,0.6197460193447974,0.303114164407239,drama ethical defense lawyer disgusted rampant legal corruption forced defend judge rape trial threat once in a while someone fights back
...E tu vivrai nel terrore! L'aldilà,0.039439209222730476,0.5807441457257898,0.2559611838239542,horror young woman old hotel following series supernatural accident building built one entrance hell beyond death beyond evil beyond the dreaded gates of hell
...altrimenti ci arrabbiamo!,0.4046788816395137,0.46460061937465325,0.4286475767335695,comedy action quarreling brother put aside difference reclaim father beloved dune buggy predatory real estate developer help beautiful circus performer whose family business enforcer nan
...altrimenti ci arrabbiamo!,0.4046788816395137,0.46460061937465325,0.4286475767335695,action comedy tied st place local stunt race two driver start contest decide prize dune buggy mobster car determined get back nan
...altrimenti ci arrabbiamo!,0.054858555555483024,0.6869739452388415,0.30770471142882644,comedy action quarreling brother put aside difference reclaim father beloved dune buggy predatory real estate developer help beautiful circus performer whose family business enforcer nan
...altrimenti ci arrabbiamo!,0.054858555555483024,0.6869739452388415,0.30770471142882644,action comedy tied st place local stunt race two driver start contest decide prize dune buggy mobster car determined get back nan
...continuavano a chiamarlo Trinità,0.0680482365303452,0.6884852994788928,0.3162230617097643,comedy western two brother trinity bambino two federal agent take advantage situation steal huge booty hidden monastery gang outlaw trinitys back in the saddle again and still horsing around
...più forte ragazzi!,0.0940715408588444,0.5394798521057509,0.272234865357607,adventure action comedy trinity crew make another modern era film pilot aircraft insurance money wind real jungle south plot big diamond miner much little thug keep price course side miner those trinity boys take to the air and still fly off the handle
009 RE:CYBORG,0.020035513244416547,0.5850743533515339,0.2460510492872635,action animation sciencefiction group nine shadowy organization use weapon humanity group turn creator protect population instead power given fight creator nan
10,0.20489129344275225,0.3347750727361385,0.25684480516010677,comedy romance go crisis becomes sexy blonde newlywed the funniest sexiest midlife crisis in movie history
10 Cloverfield Lane,0.4908868118932215,0.6195336715991462,0.5423455557755914,thriller sciencefiction drama horror getting car accident woman shelter two men claim outside world affected widespread chemical attack monsters come in many forms
10 Items or Less,0.06734636999657995,0.4455537864584276,0.218629336581319,comedy drama actor considering role supermarket manager grocery store outskirt field research subsequently becomes without car cell phone ride home scarlet cashier interview new job actor essence craft helping scarlet gain confidence need change life sometimes in life you have to change lanes
10 Minutes Gone,0.016314165620180177,0.2994016975852647,0.129549178406214,crime action thriller mystery crime rex hire frank crew steal priceless jewel stash — job go wrong someone tip cop frank blow head wake find jewel gone memory attacker frank must confront team member one one find traitor — rex cover track frank keep your enemies close
10 Things I Hate About You,0.6955881107279123,0.7642198938066223,0.7230408239593963,comedy romance drama first day new school instantly fall gorgeous girl dream problem forbidden date completely undateable older sister kat go attempt solve problem single guy could possibly match kat mysterious bad boy nasty reputation how do i loathe thee let me count the ways
10 x 10,0.24265377083599549,0.2391234544515548,0.24124164428221923,thriller lewis outwardly ordinary guy reality obsession – revenge – lewis broad daylight take home lock soundproof cell attempt extract dark secret past there are some secrets we cannot escape
"10,000 BC",0.36169296425211406,0.2487829671160826,0.3165289653977015,adventure action drama fantasy prehistoric epic young mammoth journey uncharted territory secure future tribe the legend the battle the first hero
10.0 Earthquake,0.3958828898555782,0.22772940726543967,0.3286214968195228,drama adventure action hit devastating earthquake time running save city imminent danger the end is near
100 Girls,0.16838974249368177,0.36252409920939854,0.2460434851799685,comedy drama romance college freshman meet dream girl dorm elevator blackout never see face instantly fall love morning power dream girl know life dorm set journey find mystery girl among hundred female suspect could patty girl could elevator he met the girl of his dreams if only he can meet her again
