Id,OriginalLanguage,Overview,Popularity,ReleaseDate,Title,VoteAverage,VoteCount,Budget,TagLine,RunTime,Revenue,Genres,North America,Europe,Asia,Oceania,South America,Africa
299054,1,armed every weapon get hands skills use expendables world ’ last line defense team gets called options table new team members new styles tactics going give “ new blood ” whole new meaning,3741.062,2023-09-15,expend4bles,6.4,364,100000000,theyll die theyre dead,103,30000000,action adventure thriller,0,0,0,0,0,0
926393,1,robert mccall finds home southern italy discovers friends control local crime bosses events turn deadly mccall knows become friends protector taking mafia,2471.515,2023-08-30,equalizer,7.3,1027,70000000,justice knows borders,109,176933602,action thriller crime,1,0,0,0,0,0
1034062,1,1980s hollywood action star johnny cage looking become alist actor costar jennifer goes missing set johnny finds thrust world filled shadows danger deceit embarks bloody journey johnny quickly discovers city angels devils midst,2223.43,2023-10-17,mortal kombat legends cage match,7.8,27,0,neon lights suits shoulder pads jumping explosions slow motion,80,0,animation action fantasy,1,0,0,0,0,0
575264,1,ethan hunt imf team embark dangerous mission yet track terrifying new weapon threatens humanity falls wrong hands control future worlds fate stake dark forces ethans past closing deadly race around globe begins confronted mysterious allpowerful enemy ethan must consider nothing matter mission—not even lives cares,2032.927,2023-07-08,mission impossible dead reckoning part one,7.7,1799,291000000,share fate,164,567148955,action thriller,1,0,0,0,0,0
1151534,0,young pregnant woman named mia escapes country war hiding maritime container aboard cargo ship violent storm mia gives birth child lost sea must fight survive,1627.678,2023-09-29,nowhere,7.6,686,0,attempting survive middle nowhere option,109,0,thriller drama,0,0,0,0,0,0
968051,1,france priest violently murdered sister irene begins investigate comes facetoface powerful evil,1594.559,2023-09-06,nun ii,7.0,1086,38500000,confess sins,110,262010000,horror mystery thriller,1,0,0,0,0,0
961268,0,grieving loss best friend couldnt protect exbodyguard sets fulfill dear friends last wish sweet revenge,1521.075,2023-10-05,ballerina,7.0,200,0,merciless ruthless hell,93,0,action crime thriller,0,0,0,0,0,0
951491,1,events saw saw ii sick desperate john kramer travels mexico risky experimental medical procedure hopes miracle cure cancer discover entire operation scam defraud vulnerable armed newfound purpose infamous serial killer returns work turning tables con artists signature visceral way devious deranged ingenious traps,1469.177,2023-09-26,saw x,7.3,287,13000000,witness return jigsaw,118,71984243,horror thriller,1,0,0,0,0,0
980489,1,ultimate wishfulfillment tale teenage gran turismo player whose gaming skills series nissan competitions become actual professional racecar driver,1315.518,2023-08-09,gran turismo,8.1,1127,60000000,gamer racer,135,114800000,adventure action drama,1,0,0,0,0,0
937249,1,tech blogger lands interview tech guru stops attack finds mysterious ring takes back seconds past,1304.978,2023-09-29,seconds,5.4,111,0,rewind past avenge future,99,0,thriller sciencefiction action,1,0,0,0,0,0
615656,1,exploratory dive deepest depths ocean daring research team spirals chaos malevolent mining operation threatens mission forces highstakes battle survival,1296.147,2023-08-02,meg trench,6.8,2306,129000000,back seconds,116,384056482,action sciencefiction horror,1,0,0,0,0,0
554600,0,following roguish terrorist attacks uri army base camp kashmir india takes fight enemy successful covert operation till date one one objective avenging fallen heroes,1228.1,2019-01-11,uri surgical strike,7.2,233,0,,138,0,action drama war,0,0,0,0,0,0
