Id,OriginalLanguage,OriginalTitle,Overview,Popularity,ReleaseDate,Title,VoteAverage,VoteCount,Budget,TagLine,RunTime,Revenue,Genres,North America,Europe,Asia,Oceania,South America,"Africa"
27205,1,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",4.401216329067023,2010-07-15,Inception,8.4,10.452417882335665,18.890684373198102,Your mind is the scene of the crime.,148,20.53153951042175,"Action, ScienceFiction, Adventure",1,1,0,0,0,0
497698,1,Black Widow,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",4.399596378783941,2021-07-07,Black Widow,7.3,9.142917695658749,19.11382792451231,Her world. Her secrets. Her legacy.,134,19.7550266777109,"Action, Adventure, ScienceFiction",1,0,0,0,0,0
603,1,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",4.39397990879134,1999-03-30,The Matrix,8.2,10.084349711593731,17.958645284355807,Welcome to the Real World.,136,19.954354446042554,"Action, ScienceFiction",1,0,0,0,0,0
843794,0,정이,"On an uninhabitable 22nd-century Earth, the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary.",4.3938193267428325,2023-01-12,JUNG_E,6.2,6.238324625039508,0.0,AI Combat Warrior Will be Unleashed.,98,0.0,ScienceFiction,0,0,1,0,0,0
446893,1,Trolls World Tour,"Queen Poppy and Branch make a surprising discovery — there are other Troll worlds beyond their own, and their distinct differences create big clashes between these various tribes. When a mysterious threat puts all of the Trolls across the land in danger, Poppy, Branch, and their band of friends must embark on an epic quest to create harmony among the feuding Trolls to unite them against certain doom.",4.3934362962254445,2020-03-11,Trolls World Tour,7.3,7.56734567601324,18.31532022829454,Happiest. Movie. Ever.,90,17.712964305299625,"Family, Animation, Comedy, Fantasy, Adventure, Music",1,0,0,0,0,0
729854,0,콘크리트 유토피아,"The world has been reduced to rubble by a massive earthquake. While no one knows for sure how far the ruins stretch, or what the cause of the earthquake may be, in the heart of Seoul there is only one apartment building left standing. It is called Hwang Gung Apartments.",4.390862483336281,2023-08-09,Concrete Utopia,7.6,2.70805020110221,0.0,We believe we are chosen,130,0.0,"Thriller, ScienceFiction, Drama",0,0,1,0,0,0
24021,1,The Twilight Saga: Eclipse,"Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all, she is forced to choose between her love for Edward and her friendship with Jacob, knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching, Bella is confronted with the most important decision of her life.",4.385906597872319,2010-06-23,The Twilight Saga: Eclipse,6.2,9.018937706446035,18.03501826314038,It all begins... with a choice.,124,20.36443334861033,"Adventure, Fantasy, Drama, Romance",1,0,0,0,0,0
1880,1,Red Dawn,"It is the dawn of World War III. In mid-western America, a group of teenagers band together to defend their town—and their country—from invading Soviet forces.",4.384972291962451,1984-08-10,Red Dawn,6.3,6.55250788703459,16.64872390202049,"In our time, no foreign army has ever occupied American soil. Until now.",114,17.46295577288276,"Action, Thriller, War, Drama",1,0,0,0,0,0
4257,1,Scary Movie 4,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.",4.384934901563055,2006-04-12,Scary Movie 4,5.5,8.007700012884026,17.622173047734595,Bury the grudge. Burn the village.  See the saw.,83,18.998768414191506,Comedy,1,0,0,0,0,0
28676,0,Schiave bianche: violenza in Amazzonia,A young woman seeks vengeance and finds love when her parents are killed in the Amazon and she is taken prisoner by an indigenous tribe of headhunters.,4.383575434663732,1985-08-09,Amazonia: The Catherine Miles Story,6.1,5.0369526024136295,0.0,Only one thing kept her alive.,90,0.0,"Adventure, Drama, Horror",0,1,0,0,0,0
