Id,OriginalLanguage,Overview,Popularity,ReleaseDate,Title,VoteAverage,VoteCount,Budget,TagLine,RunTime,Revenue,Genres,North America,Europe,Asia,Oceania,South America,Africa
27205,1,cobb skilled thief commits corporate espionage infiltrating subconscious targets offered chance regain old life payment task considered impossible inception implantation another persons idea targets subconscious,4.401216329067023,2010-07-15,inception,8.4,10.452417882335665,18.890684373198106,mind scene crime,148,20.53153951042175,action sciencefiction adventure,1,1,0,0,0,0
497698,1,natasha romanoff also known black widow confronts darker parts ledger dangerous conspiracy ties past arises pursued force stop nothing bring natasha must deal history spy broken relationships left wake long became avenger,4.399596378783941,2021-07-07,black widow,7.3,9.142917695658747,19.11382792451231,world secrets legacy,134,19.7550266777109,action adventure sciencefiction,1,0,0,0,0,0
603,1,set 22nd century matrix tells story computer hacker joins group underground insurgents fighting vast powerful computers rule earth,4.39397990879134,1999-03-30,matrix,8.2,10.084349711593733,17.958645284355807,welcome real world,136,19.954354446042554,action sciencefiction,1,0,0,0,0,0
843794,0,uninhabitable 22ndcentury earth outcome civil war hinges cloning brain elite soldier create robot mercenary,4.3938193267428325,2023-01-12,junge,6.2,6.238324625039508,0.0,ai combat warrior unleashed,98,0.0,sciencefiction,0,0,1,0,0,0
446893,1,queen poppy branch make surprising discovery — troll worlds beyond distinct differences create big clashes various tribes mysterious threat puts trolls across land danger poppy branch band friends must embark epic quest create harmony among feuding trolls unite certain doom,4.3934362962254445,2020-03-11,trolls world tour,7.3,7.56734567601324,18.31532022829454,happiest movie ever,90,17.712964305299625,family animation comedy fantasy adventure music,1,0,0,0,0,0
729854,0,world reduced rubble massive earthquake one knows sure far ruins stretch cause earthquake may heart seoul one apartment building left standing called hwang gung apartments,4.390862483336281,2023-08-09,concrete utopia,7.6,2.70805020110221,0.0,believe chosen,130,0.0,thriller sciencefiction drama,0,0,1,0,0,0
24021,1,bella finds surrounded danger seattle ravaged string mysterious killings malicious vampire continues quest revenge midst forced choose love edward friendship jacob knowing decision potential ignite ageless struggle vampire werewolf graduation quickly approaching bella confronted important decision life,4.385906597872319,2010-06-23,twilight saga eclipse,6.2,9.018937706446035,18.03501826314038,begins choice,124,20.36443334861033,adventure fantasy drama romance,1,0,0,0,0,0
1880,1,dawn world war iii midwestern america group teenagers band together defend town—and country—from invading soviet forces,4.384972291962451,1984-08-10,red dawn,6.3,6.55250788703459,16.64872390202049,time foreign army ever occupied american soil,114,17.46295577288276,action thriller war drama,1,0,0,0,0,0
4257,1,cindy finds house lives haunted little boy goes quest find killed also alien tripods invading world uncover secret order stop,4.384934901563055,2006-04-12,scary movie,5.5,8.007700012884026,17.622173047734595,bury grudge burn village see saw,83,18.998768414191503,comedy,1,0,0,0,0,0
28676,0,young woman seeks vengeance finds love parents killed amazon taken prisoner indigenous tribe headhunters,4.383575434663732,1985-08-09,amazonia catherine miles story,6.1,5.0369526024136295,0.0,one thing kept alive,90,0.0,adventure drama horror,0,1,0,0,0,0
985883,0,middleaged man emerges pandemic slump new job quiet hotel eccentric guests turn first night wild adventure,4.382301596868312,2023-09-29,disturb,6.3,3.5263605246161616,0.0,night ayzek,115,0.0,comedy drama,0,0,0,0,0,0
